0.000000	7.83464
0.000020	9.37225
0.000040	11.2168
0.000060	13.4181
0.000080	16.0441
0.000100	19.2018
0.000120	22.9703
0.000140	27.4785
0.000160	32.8715
0.000180	39.3406
0.000200	47.0616
0.000220	56.298
0.000240	67.347
0.000260	80.6011
0.000280	96.376
0.000300	115.291
0.000320	137.981
0.000340	164.985
0.000360	197.456
0.000380	236.208
0.000400	282.566
0.000420	338.022
0.000440	404.361
0.000460	483.501
0.000480	578.393
0.000500	691.908
0.000520	828.078
0.000540	989.694
0.000560	1183.93
0.000580	1416.93
0.000600	1695.01
0.000620	2028.62
0.000640	2426.74
0.000660	2730.13
0.000680	3013.34
0.000700	3260.01
0.000720	3435.06
0.000740	3502.9
0.000760	3572.09
0.000780	3526.88
0.000800	3413.27
0.000820	3237.86
0.000840	2972.49
0.000860	2730.13
0.000880	2393.85
0.000900	2086.63
0.000920	1795.01
0.000940	1513.53
0.000960	1268.1
0.000980	1048.55
0.001000	850.213
0.001020	702.69
0.001040	573.677
0.001060	462.213
0.001080	377.351
0.001100	310.038
0.001120	256.242
0.001140	211.878
0.001160	175.194
0.001180	146.718
0.001200	121.426
0.001220	103.04
0.001240	86.8822
0.001260	75.6976
0.001280	64.2939
0.001300	56.0172
0.001320	48.4959
0.001340	42.8137
0.001360	37.3019
0.001380	33.3534
0.001400	29.8635
0.001420	26.6903
0.001440	24.2037
0.001460	21.7899
0.001480	20.0041
0.001500	18.4989
0.001520	17.0913
0.001540	15.9062
0.001560	14.8979
0.001580	14.1387
0.001600	13.1463
0.001620	12.556
0.001640	11.8406
0.001660	11.2371
0.001680	10.8061
0.001700	10.2508
0.001720	9.98391
0.001740	9.60092
0.001760	9.29162
0.001780	8.9311
0.001800	8.58849
0.001820	8.31182
0.001840	8.09911
0.001860	7.98937
0.001880	7.78486
0.001900	7.5822
0.001920	7.43201
0.001940	7.28807
0.001960	7.1469
0.001980	7.00848
0.002000	6.87273
0.002020	6.87273
0.002040	6.78579
0.002060	6.73966
0.002080	6.51954
0.002100	6.51954
0.002120	6.43705
0.002140	6.39325
0.002160	6.31237
0.002180	6.3498
0.002200	6.26947
0.002220	6.1873
0.002240	6.10624
0.002260	6.14805
